Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type,Status,UULE
"1000002","Kabul","Kabul,Kabul,Afghanistan","9075393","AF","City",Active,w+CAIQIFISCUltHjxMadE4ESlEIXg1R9_r
"1000003","Luanda","Luanda,Luanda Province,Angola","9070431","AO","City",Active,w+CAIQIFISCX0sjdxc8VEaEZJazF5cHAyF
"1000004","The Valley","The Valley,Anguilla","2660","AI","City",Active,w+CAIQIFISCcODrRGmYw6MEWQsP4wnHM6i
"1000007","Kralendijk","Kralendijk,Bonaire,Caribbean Netherlands","9075436","BQ","City",Active,w+CAIQIFISCSdZF3OwG4OOEVJXjyJtnScr
"1000008","Philipsburg","Philipsburg,Sint Maarten","2534","SX","City",Active,w+CAIQIFISCVsbaq5vbg6MEUJT54bsf3GX
"1000009","Willemstad","Willemstad,Curacao","2531","CW","City",Active,w+CAIQIFISCVcvpgxfgoSOEe9NVTG0kkkf
"1000010","Abu Dhabi","Abu Dhabi,Abu Dhabi,United Arab Emirates","9041082","AE","City",Active,w+CAIQIFISCbnyPnIPRF4-EQgRl0GTLszH
"1000011","Ajman","Ajman,Ajman,United Arab Emirates","9047096","AE","City",Active,w+CAIQIFISCXm-j91kV18-ERmoRWTekKDN
"1000012","Al Ain","Al Ain,Abu Dhabi,United Arab Emirates","9041082","AE","City",Active,w+CAIQIFISCUmg1ctFsYo-EX-f8lvqjG_1
"1000013","Dubai","Dubai,Dubai,United Arab Emirates","9041083","AE","City",Active,w+CAIQIFISCUXG2WpJQ18-EWJRKYRQbua9
"1000014","Ras Al-Khaimah","Ras Al-Khaimah,Ras Al Khaimah,United Arab Emirates","9047098","AE","City",Active,w+CAIQIFISCcEkSyatdvY-EaN4nhr-r_YQ
"1000018","Salta","Salta,Salta Province,Argentina","20008","AR","City",Active,w+CAIQIFISCfm3UVGjwxuUEQbyh9Usmc2l
"1000021","Avellaneda","Avellaneda,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCSsFvTBSM6OVETEKqe4YKmOd
"1000024","Bahia Blanca","Bahia Blanca,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCb0CE9yrvO2VERF6HiSN2NF2
"1000025","Balcarce","Balcarce,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCVuufmdqr5qVEXtR5M8PZZbo
"1000027","Brandsen","Brandsen,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCdlfA2srtqKVEQ79lUmMMc4K
"1000028","Campana","Campana,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCa0LQ2AwcruVEb9JyIX2yTGq
"1000029","Chacabuco","Chacabuco,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCXHoP38sJLmVEa11xg_DSF-a
"1000030","Colon","Colon,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCRMW699FELiVEb9AnpgMfAZ2
"1000031","Del Viso","Del Viso,Pilar,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCSGx9bY_mbyVEbPpW3N0s0Y5
"1000035","Isidro Casanova","Isidro Casanova,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCcmdhlNpxryVEfrrLDpAHSJG
"1000036","Junin","Junin,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCWWFvesz67iVEecTz0z-r1L7
"1000037","La Plata","La Plata,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCaGFAB8r5qKVEeMSc1TwRPy8
"1000039","Lomas de Zamora","Lomas de Zamora,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCXX7-Kth0ryVETIwcmKfEbTT
"1000040","Luis Guillon","Luis Guillon,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCX1uOV7S07yVEfs7mvmh4Yvr
"1000041","Lujan","Lujan,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCUHGZKaHfbyVEa4iU8WWhwlV
"1000042","Mar del Plata","Mar del Plata,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCQlC0xlN2YSVESbR_kuAcJbd
"1000044","Moron","Moron,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCQG-41dvx7yVEQ9gW-zc_Iik
"1000045","Olavarria","Olavarria,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCaOQnq7aRZSVEXLw2xOzrRrR
"1000047","Pergamino","Pergamino,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCTEK9j6tSriVEcXpYnknwxpI
"1000050","Pinamar","Pinamar,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCZea92jlnJyVERmEjEMEV0Sz
"1000053","Quilmes","Quilmes,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCXdXX-Q4LqOVEU9SNBPC2oZq
"1000058","San Antonio de Padua","San Antonio de Padua,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCZWeygeHv7yVESnlYzTwJUt6
"1000059","San Fernando","San Fernando,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCWEomhFopbyVEZArwVfEPZMn
"1000060","San Isidro","San Isidro,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCX9Dkdg8sLyVEXUCNXHmSTur
"1000062","San Nicolas de los Arroyos","San Nicolas de los Arroyos,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCfcAtPmTZ7eVEbGJXvTaSCNi
"1000063","San Pedro","San Pedro,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCV-lsQ7tIrqVETqZ7shXu_Ll
"1000065","Tandil","Tandil,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCW-UMyebH5GVES0gnIl2LO_O
